index,Hotel_Address,Review_Date,Average_Score,Hotel_Name,Reviewer_Nationality,Negative_Review,Positive_Review,Reviewer_Score,Tags,lat,lng,countries
11344,1 Kensington Court Kensington and Chelsea London W8 5DL UK,8/25/2015,9.5,Milestone Hotel Kensington, Ireland ,No Negative, Wonderful staff so helpful A real treat ,10.0, leisure trip  couple  deluxe king room  stayed 3 nights ,51.5020425,-0.1866541,uk
12351,1 Kings Cross Road Islington London WC1X 9HX UK,8/4/2015,8.1,Crowne Plaza London Kings Cross, France , Internet didn t work in the room, Good location for Sadlers Wells friendly staff ,9.2, leisure trip  family with older children  double room with sofa bed non smoking  stayed 3 nights ,51.5263854,-0.1136042,uk
12607,1 Place De La Sorbonne 5th arr 75005 Paris France,8/4/2015,8.9,Select Hotel, United Kingdom ,No Negative, Location excellent,9.2, leisure trip  couple  small double room  stayed 3 nights  submitted from a mobile device ,48.8483053,2.3425596,france
12696,1 Place Vend me 1st arr 75001 Paris France,8/9/2015,8.7,H tel De Vend me, Kuwait , Every thing the service is so bad and poor and the breakfast also so bad the room is so bad very old furnuture, Nothing i like except the location,3.3, leisure trip  couple  classic double room  stayed 8 nights  submitted from a mobile device ,48.8668564,2.3286339,france
12920,1 Rue De Libourne 12th arr 75012 Paris France,8/5/2015,8.7,Pullman Paris Centre Bercy, Kuwait , Location is a challenge far from most of the attractions, Staff are really amazing,7.5, leisure trip  family with young children  superior twin room  stayed 4 nights  submitted from a mobile device ,48.8315204,2.3870797,france
13099,1 Rue Du G n ral Blaise 11th arr 75011 Paris France,8/23/2015,8.2,Gardette Park Hotel, United Kingdom ,No Negative, Great location away from the touristy madness yet close enough to enjoy the city Very helpful and friend staff A good hotel for enjoying Paris,9.6, leisure trip  solo traveler  double room  stayed 1 night  submitted from a mobile device ,48.8610265,2.3788974,france
13181,1 rue Geoffroy Marie 9th arr 75009 Paris France,5/24/2016,8.6,Hotel Panache, Greece , poor refrigerator in the room almost empty staff untrained poor service, stylish nice location nice restaurant,6.7, leisure trip  couple  junior suite 2 adults  stayed 3 nights ,48.8732543,2.343239,france
13289,1 Rue Sainte Opportune 1st arr 75001 Paris France,8/18/2015,7.7,H tel des Ducs D Anjou, United Kingdom ,No Negative, Friendly and helpful staff and excellent location which is very near the metro station ,7.5, leisure trip  solo traveler  standard double room  stayed 2 nights ,48.8598229,2.347111,france
13424,1 Rue Scribe 9th arr 75009 Paris France,8/9/2015,8.6,Hotel Scribe Paris Opera by Sofitel, Australia ,No Negative, opera house la fayette area,7.9, leisure trip  couple  superior double room with spa access  stayed 3 nights ,48.8704175,2.3296832,france
14707,1 Shortlands Hammersmith and Fulham London W6 8DR UK,8/6/2015,8.3,Novotel London West, Australia ,No Negative, The breakfast,8.8, leisure trip  couple  superior room  stayed 5 nights  submitted from a mobile device ,51.4919588,-0.2200956,uk
14828,1 Suffolk Place Westminster Borough London SW1Y 4HX UK,8/4/2015,9.6,Haymarket Hotel, United States of America , We never received our wake up call , Great location and lovely room ,8.8, leisure trip  couple  superior room  stayed 1 night  submitted from a mobile device ,51.5084595,-0.1311382,uk
17379,1 Waterview Drive Greenwich London SE10 0TW UK,12/22/2015,9.4,Intercontinental London The O2, United Kingdom , Nothing that wasn t addressed immediately Can t fault it, The staff couldn t not do enough,10.0, leisure trip  solo traveler  superior double or twin room  stayed 1 night ,51.5024348,-0.0002497,uk
17548,10 12 rue Cognacq Jay 7th arr 75007 Paris France,8/9/2015,8.6,H tel Juliana Paris, Saudi Arabia ,No Negative, ROOMS LOCATION NEW BUILDING STAFF,9.6, leisure trip  family with young children  comfort double room  stayed 2 nights ,48.8619373,2.3040298,france
17719,10 12 rue de Charonne 11th arr 75011 Paris France,8/6/2015,8.9,Hotel L Antoine, Switzerland , Room is tiny, Clean Stilish unconventional and well located,7.1, business trip  solo traveler  classic single room  stayed 1 night ,48.8524215,2.3743832,france
17805,10 avenue Carnot 17th arr 75017 Paris France,8/20/2015,7.7,Belfast, Iran , Elevator, Staff,10.0, leisure trip  family with young children  standard double room  stayed 6 nights  submitted from a mobile device ,48.8756435,2.2938788,france
17851,10 Avenue D I na 16th arr 75016 Paris France,8/11/2015,9.3,Shangri La Hotel Paris, Mozambique ,No Negative, Was excelente experience Frendly staff ,9.2, leisure trip  couple  deluxe suite  stayed 3 nights  submitted from a mobile device ,48.8637135,2.2934759,france
17921,10 Avenue Emile Zola 15th arr 75015 Paris France,8/4/2015,8.0,Mercure Paris Tour Eiffel Pont Mirabeau, New Zealand , Aircon not very good and kept being turned off by staff, Good location walking distance to Eiffel Tower metro outside front door,6.7, leisure trip  couple  privilege room with 1 double bed  stayed 3 nights ,48.8460269,2.2788281,france
18094,10 Beaufort Gardens Kensington and Chelsea London SW3 1PT UK,10/16/2015,9.1,Knightsbridge Hotel, Russia ,No Negative, All very nice,10.0, leisure trip  solo traveler  luxury room  stayed 3 nights  submitted from a mobile device ,51.4980052,-0.1643238,uk
18235,10 Berners Street Westminster Borough London W1T 3NP UK,8/6/2015,9.1,The London EDITION, United Kingdom ,No Negative, Staff,10.0, leisure trip  family with young children  deluxe room  stayed 1 night  submitted from a mobile device ,51.5167472,-0.135965,uk
18395,10 Bina Gardens South Kensington Kensington and Chelsea London SW5 0LA UK,8/18/2015,7.8,The Cranley Hotel, Brazil ,No Negative, The staff was very kind They gave us a helpful care with a liost luggage,8.8, leisure trip  couple  superior double room  stayed 4 nights  submitted from a mobile device ,51.4916378,-0.1832833,uk
18444,10 Bis rue du D barcad re 17th arr 75017 Paris France,8/28/2016,9.2,Hotel Le 10 BIS, Hungary ,No Negative, Very good location familiar staff ,9.6, business trip  solo traveler  deluxe double room  stayed 6 nights  submitted from a mobile device ,48.8780363,2.2864907,france
18935,10 Carlisle Street Westminster Borough London W1D 3BR UK,8/8/2015,9.0,The Nadler Soho, Switzerland ,No Negative, Extra wi fi for the room,9.2, leisure trip  couple  standard double room  stayed 3 nights  submitted from a mobile device ,51.5147387,-0.1341108,uk
20089,10 Godliman Street City of London London EC4V 5AJ UK,8/4/2015,8.5,Grange St Paul s Hotel, United Kingdom , Very hot in corridors Room very hot also but eventually got the hang of the air con , Location,7.1, leisure trip  couple  superior double room  stayed 2 nights  submitted from a mobile device ,51.5127625,-0.0997157,uk
20471,10 Harrington Road Kensington and Chelsea London SW7 3ER UK,8/4/2015,9.1,The Ampersand Hotel, Jersey , My single bed had a big dip in it , Staff very friendly nice lounge area ,7.1, leisure trip  couple  superior double or twin room  stayed 1 night ,51.4943077,-0.1755579,uk
20545,10 Monmouth Street Camden London WC2H 9HB UK,8/4/2015,9.4,Covent Garden Hotel, United Kingdom , Nothing, The incredible customer service,10.0, leisure trip  couple  luxury double room  stayed 1 night  submitted from a mobile device ,51.5145986,-0.1270336,uk
21146,10 Palace Place Westminster Borough London SW1E 5BW UK,12/7/2015,9.3,The Nadler Victoria, United Kingdom , No food available on room service, Staff really friendly,8.8, business trip  solo traveler  king room  stayed 1 night  submitted from a mobile device ,51.4990259,-0.1427453,uk
21535,10 Pepys Street City of London London EC3N 2NR UK,8/4/2015,8.6,Novotel London Tower Bridge, United Kingdom ,No Negative, we liked the location and rooms well laid out and clean,10.0, leisure trip  family with young children  2 rooms  stayed 3 nights ,51.5106538,-0.0773676,uk
21747,10 Place De La R publique 11th arr 75011 Paris France,8/9/2015,8.0,Crowne Plaza Paris R publique, Spain , Nada , El hotel en general ,7.5, leisure trip  family with young children  standard room  stayed 3 nights  submitted from a mobile device ,48.8673199,2.3656296,france
21813,10 Place De Mexico 16th arr 75016 Paris France,9/1/2015,8.3,Le Metropolitan a Tribute Portfolio Hotel, India ,No Negative, Friendly staff clean rooms And great location,8.3, leisure trip  couple  classic double room  stayed 2 nights  submitted from a mobile device ,48.8656973,2.2829776,france
21842,10 rue Chateaubriand 8th arr 75008 Paris France,8/9/2015,8.2,Atala Champs Elys es, Saudi Arabia , Nothing, I like reception staff Sarah Noureddine Mark Asian lady and Enrique Specially Sarah she is very helpful ,10.0, leisure trip  couple  superior double or twin room  stayed 4 nights  submitted from a mobile device ,48.8735418,2.302442,france
21918,10 rue d Ormesson 4th arr 75004 Paris France,6/16/2016,9.0,H tel de Jos phine BONAPARTE, France , What s not to like , Love the new name Hotel de JOBO andthe refurbishment in style ,9.6, leisure trip  solo traveler  classic double room  stayed 3 nights  submitted from a mobile device ,48.8555319,2.3621212,france
22009,10 rue de Bruxelles 9th arr 75009 Paris France,8/13/2015,9.3,Maison Souquet, Pakistan ,No Negative, Good envoirement and friendly people,10.0, leisure trip  couple  deluxe double room with private access to pool and spa  stayed 2 nights  submitted from a mobile device ,48.88366,2.3313845,france
22034,10 Rue de la Tour d Auvergne 9th arr 75009 Paris France,8/25/2015,8.3,Hotel Tour d Auvergne Opera, United Kingdom , The bar downstairs isn t really a bar as they do not stock any spirit, Staff very helpful location excellent ,9.6, leisure trip  group  premium double or twin room  stayed 1 night  submitted from a mobile device ,48.8789432,2.3448623,france
22154,10 rue de Vaugirard 6th arr 75006 Paris France,8/8/2015,8.3,Le Senat, Australia , wifi small elevator, Location staff,9.6, leisure trip  couple  superior room  stayed 4 nights ,48.8491427,2.3397118,france
22188,10 Rue Gabriel Laumain 10th arr 75010 Paris France,8/20/2015,8.3,Windsor Opera, India , This hotel is a hole in the wall what is there to like in it , Except for location Nothing,4.2, leisure trip  couple  comfort room  stayed 4 nights  submitted from a mobile device ,48.8734851,2.3485111,france
22225,10 rue Gager Gabillot 15th arr 75015 Paris France,8/20/2015,7.1,Holiday Inn Paris Montparnasse Pasteur, United States of America ,No Negative, It s an American style hotel with big rooms not like the tiny rooms in the boutique hotels in Paris ,10.0, leisure trip  family with young children  standard double or twin room  stayed 2 nights ,48.8376887,2.3063102,france
22320,10 Rue Kepler 16th arr 75016 Paris France,8/7/2015,9.1,H tel Keppler, Japan , The electrical adapter was few , Very gentle concierge Near from Etoil good accessible by metro Close to convenient store Monoprix ,9.2, leisure trip  couple  classic double room with shower  stayed 3 nights ,48.8699103,2.2973386,france
22433,10 rue Lamartine 9th arr 75009 Paris France,8/4/2015,8.8,Les Plumes Hotel, New Zealand ,No Negative, Convenient and comfortable,9.6, business trip  couple  suite  stayed 2 nights  submitted from a mobile device ,48.8766269,2.3432886,france
22524,10 rue Saint Hyacinthe 1st arr 75001 Paris France,8/18/2015,8.1,Hotel des Tuileries Relais du Silence, Australia , The wet areas always flooded Could see stains on the carpet from pass use , Location location location ,8.8, leisure trip  group  cosy room  stayed 3 nights  submitted from a mobile device ,48.8661705,2.331561,france
22606,10 rue Saint Philippe du Roule 8th arr 75008 Paris France,8/4/2015,9.1,Bradford Elys es Astotel, United Kingdom ,No Negative, Everyone was friendly and helpful The room was clean and spacious ,9.6, leisure trip  couple  standard double room  stayed 2 nights ,48.8729676,2.3081178,france
22873,10 Wardour Street Leicester Square Westminster Borough London W1D 6QF UK,8/9/2015,8.4,W London Leicester Square, United Kingdom , No tea and coffee making facilities Paid wifi extortionate, Beautiful hotel very quiet seriously posh room,9.2, leisure trip  couple  wonderful room  stayed 2 nights  submitted from a mobile device ,51.510843,-0.1314287,uk
23035,10 West Temple Sheen London SW14 7RT UK,8/8/2015,8.3,The Victoria, United Kingdom , The room was abit dusty the bathroom abit grimy and the toilet smelt , Very friendly staff nice food,6.3, leisure trip  couple  double or twin room  stayed 1 night  submitted from a mobile device ,51.4611219,-0.2756216,uk
24277,100 110 Euston Road Camden London NW1 2AJ UK,8/4/2015,8.9,Pullman London St Pancras, United Kingdom , Could of maybe have us a higher room , They was very welcoming an made sure we was comfortable an knew about everything,10.0, leisure trip  couple  classic king room  stayed 1 night  submitted from a mobile device ,51.5286766,-0.1283489,uk
24582,100 Cromwell Road Kensington and Chelsea London SW7 4ER UK,8/6/2015,8.7,Crowne Plaza London Kensington, Saudi Arabia , The wifi keeps coming off and on, The location is amazing The staff is very cooperative Comfy hotel ,10.0, leisure trip  solo traveler  standard double room  stayed 1 night  submitted from a mobile device ,51.495179,-0.183827,uk
25591,100 Queen s Gate Kensington and Chelsea London SW7 5AG UK,8/4/2015,8.0,Doubletree by Hilton London Kensington, Australia ,No Negative, Location with many reasonable restaurants handy Close to underground Piccadilly line straight from Heathrow close by ,7.9, leisure trip  couple  club twin room  stayed 6 nights ,51.4925138,-0.1787917,uk
26105,100 Shoreditch High Street Hackney London E1 6JQ UK,8/5/2015,8.6,Ace Hotel London Shoreditch, Australia ,No Negative, convenient location to my business,7.9, business trip  solo traveler  standard double room  stayed 4 nights ,51.5254162,-0.0772849,uk
26349,100 Vauxhall Walk Lambeth London SE11 5AL UK,8/18/2015,9.2,Staybridge Suites London Vauxhall, China ,No Negative, Good location and nice staff very comfortable like home,10.0, leisure trip  group  studio suite  stayed 4 nights ,51.4891226,-0.1205639,uk
27866,101 Buckingham Palace Road Westminster Borough London SW1W 0SJ UK,8/4/2015,8.4,The Grosvenor, United Kingdom ,No Negative, Location and quality of hotel,7.9, leisure trip  couple  standard twin room  stayed 2 nights  submitted from a mobile device ,51.4956657,-0.1452793,uk
28141,101 Knightsbridge Westminster Borough London SW1X 7RN UK,8/13/2015,8.2,The Park Tower Knightsbridge a Luxury Collection Hotel, Saudi Arabia , The housekeeping service is so poor , Location location and the room size is quite big compare to other London hotels ,8.8, leisure trip  family with older children  executive room  stayed 14 nights  submitted from a mobile device ,51.5014191,-0.1625805,uk
28313,102 Avenue de Villiers 17th arr 75017 Paris France,8/18/2015,8.8,Amp re, Australia , Expensive laundry service, Cosy rooms good location and helpful staff,9.2, leisure trip  group  2 rooms  stayed 3 nights ,48.8848583,2.2997023,france
28328,102 Avenue Victor Hugo 16th arr 75016 Paris France,8/4/2015,8.3,Melia Paris Champs Elys es, France ,No Negative, The staff was really nice and helpful always with kindness and a smile The hotel is cosy very well located and confortable ,8.3, leisure trip  couple  deluxe room  stayed 3 nights  submitted from a mobile device ,48.8688962,2.2827459,france
28756,102 Bd De Grenelle 15th arr 75015 Paris France,9/13/2015,8.6,Le Parisis Paris Tour Eiffel, Sweden ,No Negative, Location staff comfortness,10.0, leisure trip  couple  double room  stayed 4 nights  submitted from a mobile device ,48.8494851,2.2955063,france
29618,104 Bayswater Rd Westminster Borough London W2 3HL UK,8/4/2015,8.2,Thistle Kensington Gardens, Australia , The garage downstairs is not a good look, The proximity to Kensington Gardens,10.0, leisure trip  couple  standard double room  stayed 3 nights ,51.5108439,-0.1839074,uk
30210,108 Baker Street Westminster Borough London W1U 6LJ UK,9/19/2015,8.2,Park Plaza Sherlock Holmes London, Australia , Prices of food and drink however that s london prices, Great hotel pleasant staff and facilities at hotel,10.0, leisure trip  solo traveler  superior double room  stayed 3 nights  submitted from a mobile device ,51.5209191,-0.1566567,uk
30319,108 Rue Saint Lazare 8th arr 75008 Paris France,8/20/2015,8.4,Hilton Paris Opera, France , The room are very small, Staff are very nice,8.3, leisure trip  family with older children  deluxe room  stayed 1 night  submitted from a mobile device ,48.8756604,2.3252075,france
30652,109 113 Queen s Gate Kensington and Chelsea London SW7 5LR UK,8/6/2015,8.7,The Kensington Hotel, Singapore ,No Negative, Very friendly staff and comfortable hotel to stay in ,10.0, leisure trip  family with young children  superior double room  stayed 2 nights  submitted from a mobile device ,51.4925478,-0.1780611,uk
31646,10a Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL UK,8/4/2015,8.7,Holiday Inn London Stratford City, United Kingdom , No bad experiences, The staff and a great breakfast,10.0, leisure trip  couple  queen room non smoking  stayed 2 nights  submitted from a mobile device ,51.5426054,-0.0072708,uk
32136,10b Chestnut Plaza Westfield Stratford City Olympic Park Newham London E20 1GL UK,8/4/2015,9.2,Staybridge Suites London Stratford, United Kingdom ,No Negative, Staff were extremely friendly and helpful Rooms were well equipped and comfortable Very well situated ,9.6, couple  studio suite  stayed 2 nights  submitted from a mobile device ,51.5426351,-0.0073272,uk
32667,11 12 Poplar Mews Shepherd s Bush Hammersmith and Fulham London W12 7JS UK,8/4/2015,8.0,Shepherd s Bush Boutique Hotel, United Kingdom ,No Negative, A lovely little hotel in a great location for us Clean comfortable and great staff ,10.0, leisure trip  group  king room  stayed 1 night ,51.5054544,-0.2262216,uk
33130,11 13 Bayley Street Bedford Square Camden London WC1B 3HD UK,8/16/2015,8.1,My Bloomsbury, Norway ,No Negative, Location,7.5, leisure trip  couple  double room  stayed 3 nights  submitted from a mobile device ,51.5188555,-0.1319172,uk
33525,11 15 Rue De Lyon 12th arr 75012 Paris France,8/5/2015,8.3,Holiday Inn Paris Gare de Lyon Bastille, China ,No Negative, service location,9.2, leisure trip  group  standard twin room  stayed 2 nights ,48.8468064,2.3714789,france
33658,11 Bis Rue Jules Chaplain 6th arr 75006 Paris France,1/26/2016,8.7,H tel Chaplain Paris Rive Gauche, France , hear your neighbours rooms, close to metro and sights,7.9, leisure trip  solo traveler  club queen room  stayed 2 nights ,48.8427564,2.3305636,france
33702,11 Bis rue Mazagran 10th arr 75010 Paris France,1/23/2016,7.9,H tel Regina Op ra Grands Boulevards, Greece , Very small room but very clean newly renovated great stuff good value for money,No Positive,9.2, leisure trip  couple  double room  stayed 6 nights  submitted from a mobile device ,48.8708508,2.3515882,france
33861,11 Cadogan Gardens Sloane Square Kensington and Chelsea London SW3 2RJ UK,8/13/2015,8.7,11 Cadogan Gardens, Latvia ,No Negative, Nice location good service nice facilities,10.0, leisure trip  couple  superior queen room  stayed 2 nights ,51.4936161,-0.1592347,uk
33938,11 Knightsbridge Westminster Borough London SW1X 7LY UK,8/16/2015,9.0,The Wellesley Knightsbridge a Luxury Collection Hotel London, Saudi Arabia , I booked suite and I ended up with a room They claim wrong discriotion in the booking com by their staff, Location and size,7.1, leisure trip  family with older children  executive king room  stayed 6 nights  submitted from a mobile device ,51.502485,-0.1539265,uk
33962,11 Rue d Astorg 8th arr 75008 Paris France,8/31/2015,7.5,Hotel Astor Saint Honor , Canada , the Hotel is in bad need of renovations the bed very uncomfortable the walls are peeling off , we loved the location and that we had a balcony,5.4, leisure trip  couple  superior double room  stayed 7 nights ,48.8728324,2.3193886,france
34077,11 Rue de l Arcade 8th arr 75008 Paris France,8/23/2015,8.1,Op ra Marigny, Italy ,No Negative, Really close to the center Perfect position,9.6, leisure trip  family with older children  classic double room  stayed 3 nights  submitted from a mobile device ,48.871723,2.3235377,france
34310,11 rue de Tr vise 9th arr 75009 Paris France,8/5/2015,8.3,H tel Diva Opera, United Kingdom ,No Negative, The staff was extremely helpful and helped us to book taxis gave us recommendations for restaurants Very well mannered and lovely to speak to ,10.0, leisure trip  family with young children  superior queen room  stayed 1 night  submitted from a mobile device ,48.8732706,2.3450746,france
34382,11 rue du 8 Mai 1945 10th arr 75010 Paris France,8/21/2015,8.5,Le Marcel, South Africa , It was difficult to find the hotel ,No Positive,7.1, leisure trip  couple  standard double room  stayed 1 night  submitted from a mobile device ,48.8761376,2.3572681,france
34603,11 Rue Du Temple 4th arr 75004 Paris France,8/8/2015,8.6,H tel Duo, United States of America , It was law great , Nice large room Very clean and quiet Hotel staff was friendly and helpful ,10.0, leisure trip  solo traveler  single room with shower  stayed 2 nights  submitted from a mobile device ,48.8581186,2.3529369,france
34659,11 rue Paul Baudry 8th arr 75008 Paris France,8/13/2015,8.7,H tel Le Marianne, United Kingdom ,No Negative, Excellent location quiet road just off Champs Elysees Smart very comfortable hotel with very helpful staff ,9.6, business trip  solo traveler  superior double room with free access to hamman  stayed 2 nights ,48.8725794,2.3075779,france
35371,11 Thurloe Place Knightsbridge Kensington and Chelsea London SW7 2RS UK,8/4/2015,8.5,The Rembrandt, United Kingdom , Bed uncomfortable Pillows too hard , Location location location,9.2, leisure trip  solo traveler  classic double room  stayed 2 nights  submitted from a mobile device ,51.4959227,-0.1702917,uk
35441,110 rue Blomet 15th arr 75015 Paris France,8/24/2015,8.5,Hotel Eden, China ,No Negative, Clean several walks to Metro station help staff especially Maria Would choose to stay there if i visit Paris again ,10.0, leisure trip  family with older children  classic double room  stayed 1 night ,48.8405612,2.2991035,france
35803,111 avenue de la Bourdonnais 7th arr 75007 Paris France,8/7/2015,8.8,H tel de la Bourdonnais, United Kingdom , Would have preferred an evening bar service , Excellent location friendly staff and comfortable rooms,9.2, leisure trip  family with young children  executive double room  stayed 3 nights ,48.8550466,2.304583,france
36042,111 Cromwell Road Kensington and Chelsea London SW7 4DP UK,8/8/2015,8.6,Ashburn Hotel, Singapore ,No Negative, free wifi and friendly staff,7.5, leisure trip  couple  queen double room  stayed 3 nights  submitted from a mobile device ,51.4945522,-0.1861213,uk
36126,111 Westminster Bridge Road Lambeth London SE1 7JD UK,5/29/2017,8.6,Marlin Waterloo, Austria ,No Negative, Perfect new residence Nice big rooms And good location Perfect place for everybody,10.0, business trip  solo traveler  suite  stayed 1 night  submitted from a mobile device ,51.4990953,-0.1132136,uk
36358,112 boulevard de S bastopol 3rd arr 75003 Paris France,8/4/2015,8.3,Best Western Premier Marais Grands Boulevards, Netherlands ,No Negative, Clean Great location,8.8, leisure trip  couple  classic double room  stayed 3 nights  submitted from a mobile device ,48.8687425,2.3541761,france
36645,113 Lambeth Rd Lambeth London SE1 7LS UK,8/4/2015,8.2,Novotel London Waterloo, United Kingdom ,No Negative, Bed was very comfortable and m so was the sofa bed Breakfast also very tasty,7.5, leisure trip  group  superior queen room with double sofa  stayed 1 night  submitted from a mobile device ,51.4948465,-0.1187481,uk
36834,116 Piccadilly Westminster Borough London W1J 7BJ UK,8/23/2015,8.1,The Athenaeum, Saudi Arabia ,No Negative, Good location Friendly helpful staff Comfortable atmosphere,10.0, leisure trip  family with older children  superior room  stayed 8 nights  submitted from a mobile device ,51.504716,-0.1475618,uk
37336,117 129 Cromwell Road Kensington and Chelsea London SW7 4DS UK,8/15/2015,7.8,Park International Hotel, United Kingdom , Basement bedroom,No Positive,6.3, leisure trip  family with older children  triple room  stayed 2 nights  submitted from a mobile device ,51.4945144,-0.1866172,uk
37376,117 Poplar High Street Tower Hamlets London E14 0AE UK,4/27/2017,9.4,Lansbury Heritage Hotel, United Kingdom , Nothing it was perfect , I absolutely loved the decor and the ambience The staff were so friendly love love loved it ,10.0, business trip  solo traveler  deluxe king room  stayed 1 night  submitted from a mobile device ,51.5090985,-0.0157302,uk
37444,117 Rue Lauriston 16th arr 75116 Paris France,8/6/2015,7.9,Le Dokhan s a Tribute Portfolio Hotel, Turkey , every thing, no thing,3.3, leisure trip  family with young children  2 rooms  stayed 2 nights ,48.8663359,2.2867935,france
37531,11bis Rue Godot de Mauroy 9th arr 75009 Paris France,9/8/2015,8.7,Le Relais Madeleine, United Kingdom ,No Negative, Wonderful boutique hotel in the center of Paris The hotel staff was very friendly I highly recommend this hotel ,8.8, leisure trip  couple  comfort double or twin room  stayed 4 nights  submitted from a mobile device ,48.870961,2.3267678,france
37732,12 14 Rue Joseph De Maistre 18th arr 75018 Paris France,9/3/2015,9.0,Terrass H tel Montmartre by MH, United Kingdom ,No Negative, Decor is beautifully done luxury all the way The sun terrace is a must ,10.0, leisure trip  couple  superior double room loge sup rieure  stayed 2 nights ,48.8865626,2.3329648,france
37857,12 Boulevard Haussmann 9th arr 75009 Paris France,8/4/2015,7.8,Millennium Hotel Paris Opera, Australia , Nothing, Very nice clean hotel Very comfortable bed Pleasant helpful staff,10.0, leisure trip  group  standard double room  stayed 2 nights  submitted from a mobile device ,48.8724588,2.3378004,france
38138,12 boulevard Malesherbes 8th arr 75008 Paris France,8/19/2015,8.4,Waldorf Madeleine, Australia , Issues with bathroom, Average place in a good spot Great reception staff very helpful,8.3, leisure trip  couple  classic double or twin room  stayed 3 nights  submitted from a mobile device ,48.8715828,2.3224853,france
